STATION_NAMES,19TH_JAN_2019,19TH_FEB_2019,19TH_MAR_2019,TOTAL_1ST_QUARTER,19TH_APR_2019,19TH_MAY_2019,19TH_JUNE_2019,TOTAL_2ND_QUARTER,19TH_JULY_2019,19TH_AUG_2019,19TH_SEP_2019,TOTAL_3RD_QUARTER,19TH_OCT_2019,19TH_NOV_2019,19TH_DEC_2019,TOTAL_4TH_QUARTER
BEAT_FM,30218241.34,18290870.34,23213127.06,71722238.74,31111997.74,25640363.62,21968144.58,78720505.94,31457697.86,24875184.27,24553443.35,80886325.48,31709612.27,38882865.5,41803233.68,112395711.5
CLASSIC_FM,34800086.39,18290870.34,28189631.88,81280588.61,32645736.88,35576456.61,32141310.35,100363503.8,45489862.53,35978609.98,37154264.89,118622737.4,38223835.05,39321126.09,41675120.96,119220082.1
NAIJA_FM,4851159.74,7842176.58,4767143.57,17460479.89,3695617.91,3955070.78,3180322.46,10831011.15,4549178.34,2512952.2,2622189.82,9684320.36,4822187.69,9559834.52,6746222.63,21128244.84
LAGOS_TALKS,9631914.55,8200227.31,7058369.75,24890511.61,8914680.18,11280157.1,10039075.62,30233912.9,7158581.21,4654958.61,4713794.99,16527334.81,6426827.37,8422570.87,6436175.93,21285574.17
BEAT_FM_IBADAN,2511828.58,1047799.27,2228893.29,5788521.14,1990233.7,3021444.58,3538454.6,8550132.88,5222872.6,2898315.02,4796955.19,12918142.81,2816990.34,1925692.29,3178044.48,7920727.11
NAIJA_FM_IBADAN,815319.71,1237610.3,248356.3,2301286.31,474823.43,296070.78,1353429.24,2124323.45,989538.9,6300,989538.9,1985377.8,94439.12,886775,923426.25,1904640.37
BEAT_FM_PH,1403494.89,462675.6,1133383.23,2999553.72,596087.72,4583852.56,551385.89,5731326.17,697694.46,880508.71,618958.91,2197162.08,1769034.4,619719.46,1406779.32,3795533.18
CLASSIC_FM_PH,1260436.32,151627.33,307137.26,1719200.91,674514.26,1592414.42,1481966.76,3748895.44,2755116.21,778629.36,419543.96,3953289.53,1892724.97,519884.61,1064835.12,3477444.7
NAIJA_FM_PH,1618523.35,557278.2,1088270.74,3264072.29,1139640.08,1078818.18,1168534.58,3386992.84,1628171.33,1878619.07,2359327.45,5866117.85,2810735.23,887048.75,914756.66,4612540.64
BEAT_ABUJA,138316.61,319499.87,212216,670032.48,406259.07,87744.6,1327831.45,1821835.12,587306.43,1193264.36,519310,2299880.79,587306.43,3066847.12,454069.92,4108223.47
CLASSIC_ABUJA,375175.11,106525.32,555502.44,1037202.87,105382,260890.67,1545994.45,1912267.12,1123140.42,903755.64,1016894.26,3043790.32,1123835.05,229969.05,239721.43,1593525.53
